tx_id,address,entity_type,value_btc,fee_btc,in_degree,out_degree,timestamp
tx_1,addr_163,Hodler,2.2354,0.00489,3,4,2020-01-01 00:00:00
tx_2,addr_240,Mixer,0.6442,0.00796,18,1,2020-01-01 01:00:00
tx_3,addr_499,Trader,0.7315,0.00581,2,2,2020-01-01 02:00:00
tx_4,addr_111,Mixer,3.1117,0.00349,10,13,2020-01-01 03:00:00
tx_5,addr_16,Mixer,1.1827,0.00812,11,13,2020-01-01 04:00:00
tx_6,addr_288,Miner,3.2027,0.00246,3,2,2020-01-01 05:00:00
tx_7,addr_338,Trader,3.4567,0.00232,7,19,2020-01-01 06:00:00
tx_8,addr_175,Trader,3.8977,0.00509,8,16,2020-01-01 07:00:00
tx_9,addr_238,Trader,4.9691,0.00268,19,12,2020-01-01 08:00:00
tx_10,addr_65,Mixer,1.1277,0.00019,18,1,2020-01-01 09:00:00
tx_11,addr_339,Hodler,0.768,0.00652,13,9,2020-01-01 10:00:00
tx_12,addr_143,Trader,1.7455,0.00516,13,17,2020-01-01 11:00:00
tx_13,addr_358,Mixer,0.9278,0.00451,19,10,2020-01-01 12:00:00
tx_14,addr_259,Miner,1.838,0.00967,12,18,2020-01-01 13:00:00
tx_15,addr_223,Hodler,2.4455,0.00575,17,19,2020-01-01 14:00:00
tx_16,addr_166,Miner,2.3321,0.00865,12,7,2020-01-01 15:00:00
tx_17,addr_196,Hodler,0.9386,0.00148,13,19,2020-01-01 16:00:00
tx_18,addr_476,Mixer,0.3651,0.00574,12,15,2020-01-01 17:00:00
tx_19,addr_388,Exchange,1.1261,0.00869,19,9,2020-01-01 18:00:00
tx_20,addr_93,Hodler,0.3077,0.00587,14,10,2020-01-01 19:00:00
tx_21,addr_222,Miner,4.4163,0.00721,7,4,2020-01-01 20:00:00
tx_22,addr_6,Mixer,0.8489,0.00378,13,6,2020-01-01 21:00:00
tx_23,addr_470,Hodler,0.3356,0.00102,6,4,2020-01-01 22:00:00
tx_24,addr_375,Exchange,0.0516,0.00463,19,5,2020-01-01 23:00:00
tx_25,addr_418,Exchange,2.0759,0.00401,19,9,2020-01-02 00:00:00
tx_26,addr_293,Trader,2.0262,0.00868,4,12,2020-01-02 01:00:00
tx_27,addr_121,Trader,0.8329,0.00252,19,8,2020-01-02 02:00:00
tx_28,addr_427,Miner,0.1488,0.00967,9,5,2020-01-02 03:00:00
tx_29,addr_407,Hodler,1.054,0.00959,16,11,2020-01-02 04:00:00
tx_30,addr_313,Hodler,0.7457,0.00255,4,11,2020-01-02 05:00:00
tx_31,addr_148,Trader,2.261,0.00355,6,13,2020-01-02 06:00:00
tx_32,addr_326,Hodler,1.8617,0.00897,8,14,2020-01-02 07:00:00
tx_33,addr_68,Hodler,0.907,0.00967,16,8,2020-01-02 08:00:00
tx_34,addr_12,Exchange,0.4915,0.00449,5,18,2020-01-02 09:00:00
tx_35,addr_210,Trader,8.8517,0.00328,10,19,2020-01-02 10:00:00
tx_36,addr_477,Mixer,1.2103,0.00531,13,12,2020-01-02 11:00:00
tx_37,addr_323,Trader,2.3313,0.00691,14,12,2020-01-02 12:00:00
tx_38,addr_20,Mixer,0.3029,0.00281,7,18,2020-01-02 13:00:00
tx_39,addr_336,Exchange,1.3295,0.00739,6,10,2020-01-02 14:00:00
tx_40,addr_294,Miner,0.0558,0.00061,7,7,2020-01-02 15:00:00
tx_41,addr_160,Hodler,1.4082,0.00059,5,18,2020-01-02 16:00:00
tx_42,addr_72,Exchange,6.6494,0.00392,18,12,2020-01-02 17:00:00
tx_43,addr_12,Hodler,0.9697,0.0036,12,14,2020-01-02 18:00:00
tx_44,addr_64,Miner,0.0796,0.00322,6,15,2020-01-02 19:00:00
tx_45,addr_207,Miner,0.0629,0.00496,1,16,2020-01-02 20:00:00
tx_46,addr_263,Exchange,0.982,0.00328,4,2,2020-01-02 21:00:00
tx_47,addr_132,Miner,0.3488,0.002,19,18,2020-01-02 22:00:00
tx_48,addr_309,Mixer,0.0473,0.00316,12,12,2020-01-02 23:00:00
tx_49,addr_187,Miner,2.8229,0.00975,15,16,2020-01-03 00:00:00
tx_50,addr_462,Hodler,1.2269,0.00417,3,13,2020-01-03 01:00:00
tx_51,addr_465,Hodler,0.6829,0.0045,8,17,2020-01-03 02:00:00
tx_52,addr_120,Hodler,4.6068,0.00581,11,18,2020-01-03 03:00:00
tx_53,addr_195,Hodler,0.2469,0.00984,16,3,2020-01-03 04:00:00
tx_54,addr_117,Mixer,6.2434,0.00249,9,10,2020-01-03 05:00:00
tx_55,addr_303,Trader,0.7537,0.00684,3,1,2020-01-03 06:00:00
tx_56,addr_139,Exchange,4.3857,0.00719,5,6,2020-01-03 07:00:00
tx_57,addr_10,Hodler,1.8474,0.00611,14,3,2020-01-03 08:00:00
tx_58,addr_432,Miner,3.5055,0.00098,15,19,2020-01-03 09:00:00
tx_59,addr_340,Hodler,8.272,0.0068,6,4,2020-01-03 10:00:00
tx_60,addr_368,Miner,0.6805,0.00073,4,3,2020-01-03 11:00:00
tx_61,addr_421,Miner,6.4953,0.006,8,8,2020-01-03 12:00:00
tx_62,addr_209,Hodler,0.9869,0.00742,19,8,2020-01-03 13:00:00
tx_63,addr_21,Mixer,0.9739,0.00219,5,7,2020-01-03 14:00:00
tx_64,addr_280,Miner,0.8322,0.00843,13,2,2020-01-03 15:00:00
tx_65,addr_279,Miner,1.5592,0.0004,16,6,2020-01-03 16:00:00
tx_66,addr_416,Hodler,0.3348,0.00845,1,16,2020-01-03 17:00:00
tx_67,addr_164,Miner,1.6136,0.00466,13,10,2020-01-03 18:00:00
tx_68,addr_334,Miner,1.5605,0.00225,11,4,2020-01-03 19:00:00
tx_69,addr_165,Hodler,2.8701,0.00142,8,13,2020-01-03 20:00:00
tx_70,addr_247,Hodler,3.5873,0.00954,8,10,2020-01-03 21:00:00
tx_71,addr_328,Exchange,1.1612,0.00082,14,14,2020-01-03 22:00:00
tx_72,addr_108,Mixer,0.72,0.00207,13,9,2020-01-03 23:00:00
tx_73,addr_320,Mixer,0.6004,0.00354,3,11,2020-01-04 00:00:00
tx_74,addr_364,Miner,0.4329,0.00624,4,18,2020-01-04 01:00:00
tx_75,addr_14,Mixer,0.1188,0.00549,15,11,2020-01-04 02:00:00
tx_76,addr_339,Miner,0.8385,0.00134,15,17,2020-01-04 03:00:00
tx_77,addr_391,Exchange,0.6301,0.00297,13,2,2020-01-04 04:00:00
tx_78,addr_348,Hodler,6.7875,0.00246,9,3,2020-01-04 05:00:00
tx_79,addr_299,Hodler,1.6316,0.00221,10,11,2020-01-04 06:00:00
tx_80,addr_189,Hodler,0.8532,0.00417,12,18,2020-01-04 07:00:00
tx_81,addr_379,Mixer,1.7372,0.00707,14,3,2020-01-04 08:00:00
tx_82,addr_185,Exchange,0.2998,0.00225,1,15,2020-01-04 09:00:00
tx_83,addr_356,Mixer,1.1741,0.00373,14,11,2020-01-04 10:00:00
